query_file,rows_before_agg,input_rows,selectivity,selectivity_percent
1.sql,59986052,59986052,1.0,100.0
2.sql,4667,10100030,0.00046207783541237006,0.04620778354123701
3.sql,302114,76486052,0.0039499227911515165,0.39499227911515167
4.sql,526040,74986052,0.007015171301457503,0.7015171301457502
5.sql,72985,76586082,0.0009529799422302344,0.09529799422302344
6.sql,380103,59986052,0.0063365230303871305,0.633652303038713
7.sql,58365,76586077,0.0007620836878744944,0.07620836878744944
8.sql,24254,78586082,0.0003086297138467852,0.03086297138467852
9.sql,3261613,85086077,0.03833309884530227,3.8333098845302267
10.sql,1147084,76486077,0.014997291598574209,1.499729159857421
11.sql,323920,8100025,0.0399900000308641,3.99900000308641
12.sql,310803,74986052,0.004144810824285029,0.4144810824285029
13.sql,1500000,16500000,0.09090909090909091,9.090909090909092
14.sql,749223,61986052,0.012086961111832061,1.2086961111832062
15.sql,1,100000,1e-05,0.001
16.sql,1186602,11600000,0.10229327586206896,10.229327586206896
17.sql,5526,61986052,8.914908792707108e-05,0.00891490879270711
18.sql,4368,76486052,5.710845161677321e-05,0.005710845161677321
19.sql,1134,61986052,1.8294438239105793e-05,0.0018294438239105793
20.sql,1804,70086077,2.573977710294728e-05,0.0025739777102947283
21.sql,39448,75086077,0.0005253703692629993,0.052537036926299935
22.sql,63914,16500000,0.0038735757575757575,0.38735757575757573
